Item No.,Time Period,Phases,Type of work,Contractor name,SCHEDULED ORIGINAL,SCHEDULED CHANGE ORDERS,SCHEDULED CURRENT,WORK COMPLETED FROM PREVIOUS APPLICATION,WORK COMPLETED THIS PERIOD,MATERIALS PRESENTLY STORED,TOTAL COMPLETED AND STORED,% (G / C),Balance to Finish (C-G),RETAINAGE (If Variable Rate),Source Page,Review Notes
001,2/28/26,P1SI,UNCOMMITTED SUB COST,,282354,0,282354,0,0,0,0,0%,282354,0,2,
002,2/28/26,P1SI,TEMP SEB BUILDINGS,SPRUNG INSTANT,1078108,19903,1098011,1024203,0,0,1024203,93%,73808,51210,2,
003,2/28/26,P1SI,EARTHWORK & UTILITIES,LANDMARK,22144944,2222342,24367286,24109751,170034,0,24279785,100%,87501,1213989,2,
004,2/28/26,P1SI,STRUCTURAL CONCRETE,LITHKO,1851808,209485,2061293,2061293,0,0,2061293,100%,0,6800,2,
005,2/28/26,P1SI,PREFAB STRUCTURE INSTALL,NAVIGATOR,512467,0,512467,512467,0,0,512467,100%,0,25623,2,
006,2/28/26,P1SI,SITE ELECTRICAL TEMP GSE,FEYEN ZYLSTRA,8495490,0,8495490,8495490,0,0,8495490,100%,0,424775,2,
007,2/28/26,P1SI,MECHANICAL & PLUMBING,CR HIPP,819828,23085,842913,829913,0,0,829913,98%,13000,0,2,
008,2/28/26,P1SI,BSWOB SHELTER,DU-GARD INDUSTRIES,182800,0,182800,182800,0,0,182800,100%,0,9140,2,
009,2/28/26,P1SI,PERMANENT FENCING,MANER FENCING,635686,53290,688976,688976,0,0,688976,100%,0,34449,2,
010,2/28/26,P1SI,SITE ELECTRICAL,FEYEN ZYLSTRA,7165932,587443,7753375,7753375,0,0,7753375,100%,0,387669,2,
011,2/28/26,P1SI,LANDSCAPING,YELLOWSTONE LANDSCAPE,1146740,89050,1235790,985806,0,0,985806,80%,249984,49290,2,
012,2/28/26,P1SI,GENERAL REQUIREMENTS,,0,71060,71060,0,71060,0,71060,100%,0,3553,2,
013,2/28/26,P1SI,ALLOWANCE,,0,40969,40969,0,0,0,0,0%,40969,0,2,
014,2/28/26,P1SI,BUSINESS LICENSE,,0,352,352,0,352,0,352,100%,0,18,2,
015,2/28/26,P1SI,BUILDERS RISK,,0,2283,2283,0,0,0,0,0%,2283,0,2,
016,2/28/26,P1SI,PERMITS,,0,2539,2539,0,2539,0,2539,100%,0,127,2,
017,2/28/26,P1SI,CCIP,,0,92735,92735,0,92735,0,92735,100%,0,4637,2,
018,2/28/26,P1SI,SDI,,0,46134,46134,46134,0,0,46134,100%,0,2307,2,
019,2/28/26,P1SI,FEE,,0,118669,118669,115890,0,0,115890,98%,2779,5795,2,
020,2/28/26,SITE,UNCOMMITTED SUB COST,,-25216784,24865162,-351622,0,0,0,0,0%,-351622,0,2,
021,2/28/26,SITE,MV CABLE,FEYEN ZYLSTRA,1377481,0,1377481,1377481,0,0,1377481,100%,0,68874,2,
022,2/28/26,SITE,SITE MEDIUM VOLTAGE,ELDECO,28174035,10526739,38700774,30705011,0,0,30705011,79%,7995763,1535251,2,
023,2/28/26,SITE,MS-C AND MS-D NEW SHINEY,ELDECO,4688138,0,4688138,1586632,0,0,1586632,34%,3101506,79332,2,Description OCR uncertain: 'SHINEY'.
024,2/28/26,SITE,MECHANICAL & PLUMBING,CR HIPP,1645769,0,1645769,1108813,0,0,1108813,67%,536956,55441,2,
025,2/28/26,SITE,SITEWORK - 78' POND,GULFSTREAM,14166965,167420,14334385,7044583,2726573,0,9771156,68%,4563229,488558,2,
026,2/28/26,SITE,COMMUNICATIONS,NOJ ELDECO,6131066,0,6131066,0,0,0,0,0%,6131066,0,2,Contractor name OCR uncertain.
027,2/28/26,SITE,FIRE PUMPS REPLACEMENTS,SHAMBAUGH,278000,0,278000,0,0,0,0,0%,278000,0,2,
028,2/28/26,SITE,GENERAL REQUIREMENTS,,7123913,14042,7137955,3608502,574564,0,4183065,59%,2954890,0,2,
029,2/28/26,SITE,GENERAL CONDITIONS,,2817315,0,2817315,2817315,0,0,2817315,100%,0,0,2,
030,2/28/26,SITE,PERMIT,,1000000,34328,1034328,1000000,0,0,1000000,97%,34328,0,2,
031,2/28/26,SITE,BUILDERS RISK,,129920,30834,160754,0,0,0,0,0%,160754,0,3,
032,2/28/26,SITE,BUSINESS LICENSE,,31000,4769,35769,0,0,0,0,0%,35769,0,3,
033,2/28/26,SITE,CCIP,,1323257,1002648,2325905,2052710,0,0,2052710,88%,273195,0,3,
034,2/28/26,SITE,SDI,,649598,492213,1141811,1061266,0,0,1061266,93%,80545,0,3,
035,2/28/26,SITE,FEE,,1469442,1169851,2639293,1694648,95000,0,1789648,68%,849645,0,3,
036,2/28/26,SITE,CONCRETE,LITHKO,0,473681,473681,0,0,0,0,0%,473681,0,3,Phase shown under TEMP FIRE - SITE INFRASTRUCTURE subtotal label; abbreviated to SITE per row marker.
037,2/28/26,SITE,ELECTRICAL,FEYEN ZYLSTRA,0,1479487,1479487,1195739,0,0,1195739,81%,283748,59787,3,Phase shown under TEMP FIRE - SITE INFRASTRUCTURE subtotal label; abbreviated to SITE per row marker.
038,2/28/26,SITE,SITEWORK,OL THOMPSON,0,1053843,1053843,532905,237894,0,770799,73%,283044,38540,3,Phase shown under TEMP FIRE - SITE INFRASTRUCTURE subtotal label; abbreviated to SITE per row marker.
039,2/28/26,SITE,PERMANENT FENCING,MANER,0,14160,14160,14160,0,0,14160,100%,0,708,3,Phase shown under TEMP FIRE - SITE INFRASTRUCTURE subtotal label; abbreviated to SITE per row marker.
040,2/28/26,SITE,GENERAL REQUIREMENTS,,0,92500,92500,0,0,0,0,0%,92500,0,3,Phase shown under TEMP FIRE - SITE INFRASTRUCTURE subtotal label; abbreviated to SITE per row marker.
041,2/28/26,SITE,GENERAL CONDITIONS,,0,146511,146511,0,0,0,0,0%,146511,0,3,Phase shown under TEMP FIRE - SITE INFRASTRUCTURE subtotal label; abbreviated to SITE per row marker.
042,2/28/26,SITE,DESIGN ESCALATION,,0,79066,79066,0,0,0,0,0%,79066,0,3,Phase shown under TEMP FIRE - SITE INFRASTRUCTURE subtotal label; abbreviated to SITE per row marker.
043,2/28/26,SITE,BUILDERS RISK,,0,339,339,0,0,0,0,0%,339,0,3,Phase shown under TEMP FIRE - SITE INFRASTRUCTURE subtotal label; abbreviated to SITE per row marker.
044,2/28/26,SITE,BUSINESS LICENSE/PERMITS,,0,15569,15569,0,0,0,0,0%,15569,0,3,Phase shown under TEMP FIRE - SITE INFRASTRUCTURE subtotal label; abbreviated to SITE per row marker.
045,2/28/26,SITE,CCIP,,0,93072,93072,82117,0,0,82117,88%,10955,0,3,Phase shown under TEMP FIRE - SITE INFRASTRUCTURE subtotal label; abbreviated to SITE per row marker.
046,2/28/26,SITE,SDI,,0,45689,45689,40311,0,0,40311,88%,5378,0,3,Phase shown under TEMP FIRE - SITE INFRASTRUCTURE subtotal label; abbreviated to SITE per row marker.
047,2/28/26,SITE,FEE,,0,110818,110818,58600,8000,0,66600,60%,44218,0,3,Phase shown under TEMP FIRE - SITE INFRASTRUCTURE subtotal label; abbreviated to SITE per row marker.
048,2/28/26,FLTL,UNCOMMITTED SUB COST,,30096465,-648075,29448390,0,0,0,0,0%,29448390,0,3,
049,2/28/26,FLTL,EARTHWORK & UTILITIES,LANDMARK,6943623,10007950,16951573,10514875,2000542,0,12515417,74%,4436156,625771,3,
050,2/28/26,FLTL,PSI FLIGHTLINE PAVING,INDEPENDENCE PAVING,15230000,16864350,32094350,2937500,2437788,0,5375288,17%,26719062,268764,3,
051,2/28/26,FLTL,DEMOLITION,DECO,580000,10575,590575,576912,0,0,576912,98%,13663,28846,3,
052,2/28/26,FLTL,PSQIC PROGRAM,INSIGHT,297500,297500,595000,0,0,0,0,0%,595000,0,3,Acronym OCR uncertain: 'PSQIC'.
053,2/28/26,FLTL,BLAST DEFLECTORS,BULLZEYE,3966147,0,3966147,1822019,0,0,1822019,46%,2144128,91101,3,Contractor name OCR uncertain.
054,2/28/26,FLTL,PERMANENT FENCING,MANER FENCING,175350,41384,216734,37880,0,0,37880,17%,178854,1894,3,
055,2/28/26,FLTL,DABICO AIRPORT SOLUTIONS,,3078222,4723758,7801980,2308666,845676,0,3154342,40%,4647638,0,3,
056,2/28/26,FLTL,ELECTRICAL,FEYEN ZYLSTRA,8946158,13258124,22204282,6581158,0,0,6581158,30%,15623124,329058,3,
057,2/28/26,FLTL,LANDSCAPING,YELLOWSTONE LANDSCAPE,230193,0,230193,0,0,0,0,0%,230193,0,3,
058,2/28/26,FLTL,STEEL,STELWORKS,2789144,0,2789144,20000,135795,98209,254004,9%,2535140,12700,3,Contractor name OCR uncertain: 'STELWORKS'.
059,2/28/26,FLTL,MECHANICAL & PLUMBING,BELL CONSTRUCTORS,8592373,3503677,12096050,0,0,0,0,0%,12096050,0,3,
060,2/28/26,FLTL,FLOORING,SOURCE ONE,233574,0,233574,0,0,0,0,0%,233574,0,3,
061,2/28/26,FLTL,"DOORS, FRAMES, HARDWARE",DHI COMMERCIAL,542100,0,542100,27105,0,0,27105,5%,514995,1355,3,
062,2/28/26,FLTL,ELECTRICAL,H&A ELECTRICAL,10731678,0,10731678,0,81500,0,81500,1%,10650178,4075,3,
063,2/28/26,FLTL,MILLWORK,COASTAL MILLWORK & SUPPLY,130451,0,130451,0,0,0,0,0%,130451,0,3,
064,2/28/26,FLTL,SITEWORK,GULFSTREAM,0,161196,161196,0,0,0,0,0%,161196,0,3,
065,2/28/26,FLTL,GENERAL REQUIREMENTS,,49713,1553532,1603245,0,0,0,0,0%,1603245,0,3,
066,2/28/26,FLTL,GENERAL CONDITIONS,,5512938,36480,5549418,5512938,0,0,5512938,99%,36480,0,3,
067,2/28/26,FLTL,BUILDERS RISK,,302197,134934,437131,0,0,0,0,0%,437131,0,3,
068,2/28/26,FLTL,BUSINESS LICENSE/PERMITS,,72106,171061,243167,0,0,0,0,0%,243167,0,4,
069,2/28/26,FLTL,CCIP,,3077932,1476519,4554451,3077932,0,0,3077932,68%,1476519,0,4,
070,2/28/26,FLTL,SDI,,1510985,723396,2234381,1510985,0,0,1510985,68%,723396,0,4,
071,2/28/26,FLTL,FEE,,3417968,1649454,5067422,1183354,140000,0,1323354,26%,3744068,0,4,
072,2/28/26,PTS,GENERAL REQUIREMENTS,,0,0,0,0,0,0,0,0%,0,0,4,
073,2/28/26,PTS,UNCOMMITTED SUB COST,,8345252,0,8345252,0,0,0,0,0%,8345252,0,4,
074,2/28/26,PTS,GENERAL CONDITIONS,,597237,0,597237,597237,0,0,597237,100%,0,0,4,
075,2/28/26,PTS,BUILDERS RISK,,27540,0,27540,0,0,0,0,0%,27540,0,4,
076,2/28/26,PTS,BUSINESS LICENSE,,6571,0,6571,0,0,0,0,0%,6571,0,4,
077,2/28/26,PTS,CCIP,,280501,0,280501,280501,0,0,280501,100%,0,0,4,
078,2/28/26,PTS,SDI,,137701,0,137701,137701,0,0,137701,100%,0,0,4,Item number appears as 079 in image; row numbering alignment near PTS section is slightly unclear.
079,2/28/26,PTS,FEE,,311490,0,311490,33695,0,0,33695,11%,277795,0,4,Text from OCR checkpoint; numbers from pdfplumber
080,2/28/26,PKRD,UNCOMMITTED SUB COST,,9732550,8635826,18368376,0,0,0,0,0%,18368376,0,4,
081,2/28/26,PKRD,ELECTRICAL,FEYEN ZYLSTRA,2348325,2198639,4546964,4231916,0,0,4231916,93%,315048,211596,4,
082,2/28/26,PKRD,EARTHWORK & UTILITIES SITE SOUTH,LANDMARK,12295493,3594292,15889785,13404360,2485425,0,15889785,100%,0,317796,4,
083,2/28/26,PKRD,SOI PF,FEYEN ZYLSTRA,4157741,0,4157741,0,0,0,0,0%,4157741,0,4,Description OCR uncertain.
084,2/28/26,PKRD,SOIL SITEWORK & UTILITIES,GULFSTREAM,43827037,0,43827037,0,7650000,0,7650000,17%,36177037,0,4,
085,2/28/26,PKRD,ALLOWANCE - GATE ARMS AND GUARD RAIL,,0,116012,116012,0,0,0,0,0%,116012,0,4,
086,2/28/26,PKRD,ALLOWANCE - SECURITY BUILDING REFRESH,,0,30000,30000,0,0,0,0,0%,30000,0,4,
087,2/28/26,PKRD,ALLOWANCE - TEMP BATCH PLANT,,0,1187905,1187905,0,0,0,0,0%,1187905,0,4,
088,2/28/26,PKRD,GENERAL CONDITIONS,,5018960,30150,5049110,4699035,319925,0,5018960,99%,30150,0,4,
089,2/28/26,PKRD,GENERAL REQUIREMENTS,,9608,200,9808,0,0,0,0,0%,9808,0,4,
090,2/28/26,PKRD,BUILDERS RISK,,238336,15872,254208,0,0,0,0,0%,254208,0,4,
091,2/28/26,PKRD,BUSINESS LICENSE,,56869,2459,59328,0,0,0,0,0%,59328,0,4,
092,2/28/26,PKRD,PERMITS,,0,17467,17467,0,0,0,0,0%,17467,0,4,
093,2/28/26,PKRD,CCIP,,2427503,428228,2855731,2695900,0,0,2695900,94%,159831,0,4,
094,2/28/26,PKRD,SDI,,1191683,221559,1413242,1334780,0,0,1334780,94%,78462,0,4,
095,2/28/26,PKRD,FEE,,2695682,523418,3219100,891151,335000,0,1226151,38%,1992949,0,4,
096,2/28/26,TEMP FIRE,UNCOMMITTED SUB COST,,0,0,0,0,0,0,0,0%,0,0,4,Current value not visible on provided image crop.
097,2/28/26,TEMP FIRE,CONCRETE,LITHKO,0,294249,294249,292166,0,0,292166,99%,2083,14608,4,
098,2/28/26,TEMP FIRE,ELECTRICAL,FEYEN ZYLSTRA,0,127328,127328,119533,0,0,119533,94%,7795,5977,4,
099,2/28/26,TEMP FIRE,SITEWORK,OL THOMPSON,0,706716,706716,601062,64803,0,665865,94%,40851,0,4,
100,2/28/26,TEMP FIRE,PERMANENT FENCING,MANER,0,101700,101700,76000,0,0,76000,75%,25700,0,4,
101,2/28/26,TEMP FIRE,EARTHWORK,LANDMARK,0,40020,40020,40020,0,0,40020,100%,0,0,4,
102,2/28/26,TEMP FIRE,GENERAL CONDITIONS,,0,128004,128004,0,0,0,0,0%,128004,0,4,
103,2/28/26,TEMP FIRE,GENERAL REQUIREMENTS,,0,122497,122497,0,0,0,0,0%,122497,0,4,
104,2/28/26,TEMP FIRE - PARKING & ROADWAYS,DESIGN ESCALATION,,0,9527,9527,0,0,0,0,0%,9527,0,5,
105,2/28/26,TEMP FIRE - PARKING & ROADWAYS,BUSINESS LICENSE-PERMITS,,0,2068,2068,0,0,0,0,0%,2068,0,5,
106,2/28/26,TEMP FIRE - PARKING & ROADWAYS,BUILDERS RISK,,0,292,292,0,0,0,0,0%,292,0,5,
107,2/28/26,TEMP FIRE - PARKING & ROADWAYS,CCIP,,0,26532,26532,15240,0,0,15240,57%,11292,0,5,
108,2/28/26,TEMP FIRE - PARKING & ROADWAYS,SDI,,0,36588,36588,31045,0,0,31045,85%,5543,0,5,
109,2/28/26,TEMP FIRE - PARKING & ROADWAYS,FEE,,0,50458,50458,37100,2500,0,39600,78%,10858,0,5,
110,2/28/26,8848 - 88-48 FINAL ASSEMBLY BLDG,UNCOMMITTED SUB COST,,-160177741,162207299,2029558,0,0,0,0,0%,2029558,0,5,
111,2/28/26,8848 - 88-48 FINAL ASSEMBLY BLDG,STRUCTURAL STEEL,C STEEL,102462000,20561677,123023677,48510319,4007640,1303789,53821748,44%,69201929,2691087,5,
112,2/28/26,8848 - 88-48 FINAL ASSEMBLY BLDG,IMP,M&RD,8139666,1800,8141466,64412,0,0,64412,1%,8077054,3221,5,
113,2/28/26,8848 - 88-48 FINAL ASSEMBLY BLDG,HANGER DOORS,INTERNATIONAL DOOR,13104689,1689332,14794021,950022,0,0,950022,6%,13843999,47501,5,
114,2/28/26,8848 - 88-48 FINAL ASSEMBLY BLDG,DEEP FOUNDATIONS,CASSONS BAUER,8003550,2163700,10167250,6660055,1910138,19528,8589721,84%,1577529,429486,5,
